itime   time       cumulerror1    concin1      concout1     ambient1   cumulerror2    concin2      concout2     ambient2  
  0     0.0          0.0          0.0          0.0          0.0          0.0          0.0          0.0          0.0     
  1    10.000000    -0.000000     1.000000     0.205459     0.034101     0.000000     0.000000     0.013991     0.007268 
  2    20.000000    -0.000001     1.000000     0.323302     0.065311     0.000001     0.000000     0.038558     0.024391 
  3    30.000000    -0.000001     1.000000     0.345934     0.088456     0.000001     0.000000     0.057562     0.044486 
  4    40.000000    -0.000001     1.000000     0.363329     0.110233     0.000001     0.000000     0.073585     0.064830 
  5    50.000000    -0.000001     1.000000     0.378313     0.130400     0.000001     0.000000     0.088176     0.084679 
  6    60.000000    -0.000001     1.000000     0.391967     0.149628     0.000002     0.000000     0.101706     0.103758 
  7    70.000000    -0.000001     1.000000     0.404691     0.167915     0.000001     0.000000     0.114390     0.122011 
  8    80.000000    -0.000001     1.000000     0.416669     0.185342     0.000002     0.000000     0.126355     0.139422 
  9    90.000000    -0.000001     1.000000     0.427999     0.201934     0.000002     0.000000     0.137681     0.156012 
 10   100.000000    -0.000001     1.000000     0.438743     0.217735     0.000002     0.000000     0.148423     0.171811 
 11   110.000000    -0.000002     1.000000     0.448942     0.232768     0.000003     0.000000     0.158622     0.186841 
 12   120.000000    -0.000002     1.000000     0.458631     0.247067     0.000003     0.000000     0.168311     0.201145 
 13   130.000000    -0.000003     1.000000     0.467839     0.260673     0.000002     0.000000     0.177519     0.214746 
 14   140.000000    -0.000003     1.000000     0.476591     0.273604     0.000003     0.000000     0.186271     0.227680 
 15   150.000000    -0.000002     1.000000     0.484909     0.285902     0.000003     0.000000     0.194589     0.239978 
 16   160.000000    -0.000002     1.000000     0.492817     0.297600     0.000003     0.000000     0.202498     0.251676 
 17   170.000000    -0.000002     1.000000     0.500335     0.308715     0.000002     0.000000     0.210015     0.262792 
 18   180.000000    -0.000002     1.000000     0.507482     0.319289     0.000001     0.000000     0.217162     0.273369 
 19   190.000000    -0.000000     1.000000     0.514275     0.329334     0.000001     0.000000     0.223956     0.283413 
 20   200.000000    -0.000000     1.000000     0.520734     0.338892     0.000001     0.000000     0.230415     0.292968 
 21   220.000000    -0.000001     1.000000     0.534349     0.356738     0.000002     0.000000     0.241795     0.309751 
 22   240.000000    -0.000000     1.000000     0.544946     0.371955     0.000000     0.000000     0.252517     0.325398 
 23   260.000000     0.000001     1.000000     0.554439     0.386141    -0.000001     0.000000     0.262002     0.339416 
 24   280.000000     0.000001     1.000000     0.563003     0.398872    -0.000001     0.000000     0.270566     0.352206 
 25   300.000000     0.000000     1.000000     0.570758     0.410474    -0.000000     0.000000     0.278320     0.363784 
 26   320.000000     0.000002     1.000000     0.577786     0.420974    -0.000001     0.000000     0.285349     0.374297 
 27   340.000000     0.000000     1.000000     0.584160     0.430517    -0.000001     0.000000     0.291723     0.383832 
 28   360.000000     0.000001     1.000000     0.589939     0.439151    -0.000001     0.000000     0.297502     0.392474 
 29   380.000000     0.000001     1.000000     0.595181     0.446997     0.000000     0.000000     0.302743     0.400311 
 30   400.000000    -0.000001     1.000000     0.599935     0.454111    -0.000001     0.000000     0.307497     0.407427 
 31   420.000000    -0.000001     1.000000     0.604245     0.460556    -0.000002     0.000000     0.311808     0.413873 
 32   440.000000     0.000001     1.000000     0.608153     0.466397    -0.000002     0.000000     0.315716     0.419717 
 33   460.000000     0.000001     1.000000     0.611698     0.471705    -0.000002     0.000000     0.319261     0.425022 
 34   480.000000     0.000002     1.000000     0.614913     0.476509    -0.000003     0.000000     0.322475     0.429829 
 35   500.000000     0.000001     1.000000     0.617829     0.480878    -0.000002     0.000000     0.325391     0.434190 
 36   520.000000    -0.000001     1.000000     0.620473     0.484831    -0.000001     0.000000     0.328035     0.438143 
 37   540.000000    -0.000000     1.000000     0.622870     0.488415    -0.000001     0.000000     0.330432     0.441732 
 38   560.000000     0.000001     1.000000     0.625044     0.491668    -0.000002     0.000000     0.332607     0.444987 
 39   580.000000     0.000002     1.000000     0.627016     0.494615    -0.000003     0.000000     0.334579     0.447935 
 40   600.000000     0.000002     1.000000     0.628805     0.497293    -0.000003     0.000000     0.336367     0.450611 
 41   620.000000     0.000001     1.000000     0.630427     0.499722    -0.000003     0.000000     0.337989     0.453033 
 42   640.000000     0.000002     1.000000     0.631897     0.501915    -0.000001     0.000000     0.339458     0.455229 
 43   660.000000     0.000003     1.000000     0.633230     0.503913    -0.000001     0.000000     0.340792     0.457231 
 44   680.000000     0.000003     1.000000     0.634440     0.505720    -0.000002     0.000000     0.342003     0.459042 
 45   700.000000     0.000002     1.000000     0.635538     0.507368    -0.000001     0.000000     0.343099     0.460677 
 46   720.000000     0.000004     1.000000     0.636531     0.508846    -0.000001     0.000000     0.344094     0.462167 
 47   740.000000     0.000007     1.000000     0.637432     0.510193    -0.000001     0.000000     0.344995     0.463514 
 48   760.000000     0.000007     1.000000     0.638251     0.511424    -0.000000     0.000000     0.345812     0.464736 
 49   780.000000     0.000006     1.000000     0.638993     0.512537     0.000000     0.000000     0.346555     0.465848 
 50   800.000000     0.000007     1.000000     0.639666     0.513536     0.000001     0.000000     0.347227     0.466854 
